id,language,GM_H1gram,GM_H3gram,GM_TTR,GM_TTR+H1,GM_TTR+H3,GM_TTR+H1+H3,GM_H1gram_(fullyparallelised),GM_H3gram_(fullyparallelised),GM_TTR_(fullyparallelised),GM_TTR+H1_(fullyparallelised),GM_TTR+H3_(fullyparallelised),GM_TTR+H1+H3_(fullyparallelised)
aey,Amele,0.6119330809,0.780252,0.06065136282,0.04,0.03947368421,0.04081632653,0.568475205,0.5908495713,0.1342350204,0.03125,0.03636363636,0.03225806452
amp,Alamblak,0.7057047666,0.782454,0.109781045,0.05,0.06382978723,0.09090909091,0.6732651674,0.6431305915,0.2033711247,0.07692307692,0.06060606061,0.06818181818
ape,Bukiyip,0.6311848697,0.763648,0.0556143144,0.03333333333,0.03614457831,0.04081632653,0.6519671154,0.5913951079,0.1193411119,0.04166666667,0.03333333333,0.03947368421
apu,Apurinã,0.5809332115,0.567297,0.09235872884,0.02985074627,0.02857142857,0.03571428571,0.5924907906,0.523639738,0.2053489384,0.04651162791,0.0350877193,0.03488372093
arn,Mapudungun,0.5744377403,0.780808,0.08595837489,0.04347826087,0.03488372093,0.03333333333,0.5983614113,0.5964544551,0.1457532201,0.04166666667,0.04255319149,0.04
arz,Egyptian Arabic,0.8083907428,0.887509,0.1283222744,0.1818181818,0.25,0.2222222222,0.7258966809,0.7482856756,0.3107239849,0.2222222222,0.25,0.2307692308
bsn,Barasana-Eduria,0.6368407511,0.656123,0.07697200157,0.02941176471,0.03370786517,0.04761904762,0.5268477572,0.5778378176,0.1468694426,0.03125,0.03703703704,0.0303030303
cha,Chamorro,0.6066347164,0.822207,0.05734550311,0.05,0.04411764706,0.03773584906,0.6783163972,0.6631499884,0.1307001795,0.05128205128,0.04651162791,0.05660377358
ckt,Chukchi,0.6891583159,0.867343,0.3326022934,0.25,0.1764705882,0.1666666667,NA,NA,NA,NA,NA,NA
deu,German,0.6740978186,0.808278,0.04051359664,0.03703703704,0.04545454545,0.04255319149,0.5883626605,0.6639265209,0.13651329,0.03703703704,0.05405405405,0.0447761194
dgz,Daga,0.5983791418,0.729275,0.03656255103,0.02666666667,0.02857142857,0.02941176471,0.5856816632,0.5458095617,0.09502262443,0.02816901408,0.025,0.02678571429
ell,Modern Greek,0.6694809177,0.797904,0.05215703595,0.03846153846,0.04545454545,0.04444444444,0.683407727,0.6553530662,0.1818100638,0.07692307692,0.06060606061,0.07142857143
eng,English,0.6733010991,0.830075,0.01537273681,0.03703703704,0.0447761194,0.03448275862,0.7031572068,0.6672036502,0.08246993874,0.04255319149,0.04,0.05263157895
eus,Basque,0.7361132745,0.773935,0.1149097738,0.04651162791,0.0652173913,0.125,0.6557822966,0.5884032285,0.2246172895,0.07407407407,0.04545454545,0.05172413793
fij,Fijian,0.5668455985,0.775858,0.0165170874,0.02816901408,0.02654867257,0.02352941176,0.5687504397,0.5193495425,0.04875740368,0.02409638554,0.02222222222,0.02362204724
fin,Finnish,0.6298807542,0.808016,0.1017423176,0.05555555556,0.05,0.05,0.6964946127,0.5899504384,0.266837962,0.1428571429,0.05555555556,0.06818181818
fra,French,0.6518489062,0.795379,0.04049848005,0.03448275862,0.03947368421,0.03703703704,0.6068049795,0.6091505725,0.139377168,0.04166666667,0.04255319149,0.04166666667
gug,Paraguayan Guaraní,0.5864849089,0.822999,0.09035611981,0.06060606061,0.04347826087,0.03636363636,0.6138013392,0.6423229356,0.1740904968,0.05128205128,0.05405405405,0.05172413793
hae,Eastern Oromo,0.63835673,0.765683,0.09826912339,0.04081632653,0.04347826087,0.05405405405,0.6523909432,0.5731394986,0.1969310607,0.06451612903,0.03703703704,0.04347826087
hau,Hausa,0.577350264,0.759329,0.03864249773,0.02739726027,0.02678571429,0.02631578947,0.6096593057,0.613521594,0.09815153362,0.03225806452,0.03278688525,0.03529411765
hin,Hindi,0.6106909114,0.825747,0.01161122557,0.0350877193,0.03571428571,0.02739726027,0.540390154,0.7294623895,0.05765853294,0.02325581395,0.04081632653,0.03260869565
ind,Indonesian,0.6343522036,0.762528,0.02841823949,0.02631578947,0.0306122449,0.03174603175,0.6617383746,0.5989259118,0.1152538155,0.04255319149,0.03333333333,0.04109589041
jac,Popti',0.5919001848,0.833167,0.05256356192,0.05405405405,0.04166666667,0.03076923077,0.6240752395,0.6463897989,0.1089150411,0.0350877193,0.03703703704,0.04054054054
kal,Kalaallisut,0.5284891521,0.699097,0.4368413408,0.04651162791,0.03333333333,0.04081632653,0.572896735,0.4556804827,0.542764977,0.05405405405,0.04081632653,0.03571428571
