id,language,CR_inflection_accuracy,CR_ttr,CR_msp,CR_mfe,CR_cfe_form_feat,CR_cfe_feat_form
afr,Afrikaans,0.6670442898,0.18531845,1.2196092001,6.4273482208,7.5399E-06,8.9509E-06
ara,Arabic,0.1000941061,0.2988734,1.4752206079,6.9765855813,2.19027E-05,6.9694E-06
bul,Bulgarian,0.3490676305,0.3770606,1.5142254586,9.3361379204,4.7859E-06,1.11903E-05
cat,Catalan,0.517017017,0.2757109,1.2669321687,6.2757046966,1.17581E-05,1.05572E-05
ces_cac,Czech,0.3340556125,0.44924505,1.5889099712,11.1454613092,1.37917E-05,6.8686E-06
ces_fictree,Czech,0.3130136124,0.37129535,1.6334260554,11.6738323673,1.55421E-05,1.07678E-05
ces_pdt,Czech,0.3350386314,0.48398605,1.5403834139,11.5255029804,1.30656E-05,7.7216E-06
chu,Old Church Slavonic,0.1980843119,0.23333255,2.5453923123,10.6959949619,1.57233E-05,1.98885E-05
cmn,Chinese,0.998998999,0.3214261,1.0007921609,2.4444340979,1.56829E-05,0
dan,Danish,0.478996961,0.3070685,1.2942917522,7.8451194316,1.25536E-05,1.01726E-05
deu,German,0.5870001738,0.3860534,1.184740459,8.0099770889,2.95977E-05,7.8647E-06
ell,Greek,0.3470446494,0.26927255,1.6479675126,8.8634303172,2.04018E-05,1.29054E-05
ekk_edt,Estonian,0.1770093447,0.5187455,1.5171757331,8.0971108458,9.595E-06,8.5792E-06
eng_ewt,English,0.6840103577,0.2638215,1.253344021,5.9776110325,1.67924E-05,1.39025E-05
eng_gum,English,0.6789963616,0.2561732,1.2406451631,5.6503649031,1.32403E-05,1.00888E-05
eng_lines,English,0.6319912727,0.21555155,1.3079260404,6.0356743582,1.27641E-05,1.14832E-05
eng_partut,English,0.6859913806,0.20773745,1.2715663822,5.6681589778,1.20723E-05,1.07239E-05
eus,Basque,0.3170176164,0.40704345,1.8928225711,8.7798234253,1.68885E-05,2.164E-05
fas,Persian,0.6910323497,0.25429455,1.5935074918,3.3871291582,7.2865E-06,2.74835E-05
fin_ftb,Finnish,0.2349894805,0.4994971,1.7281628917,9.1585895663,9.6638E-06,9.3749E-06
fin_tdt,Finnish,0.1360162558,0.53579155,1.6843615989,9.5021853014,4.9074E-06,6.7233E-06
fra_gsd,French,0.5579981179,0.31732015,1.2569076631,5.9840104933,1.13442E-05,1.72944E-05
fra_sequoia,French,0.5529871189,0.22858675,1.3575549818,5.9070019722,6.8963E-06,1.6134E-05
got,Gothic,0.2120503737,0.21064875,2.149562227,10.0606777349,1.82515E-05,3.4802E-06
grc_perseus,Ancient Greek,0.1540762319,0.41621955,1.9699818916,8.4555823536,1.82718E-05,2.31241E-05
grc_proiel,Ancient Greek,0.1330701959,0.31952685,2.1511716768,10.649726555,1.40923E-05,1.28653E-05
heb,Hebrew,0.4390258522,0.269529,1.426065104,7.1005132595,1.25146E-05,8.9502E-06
hin,Hindi,0.6769703836,0.2240186,1.1966630154,6.6504498845,3.87954E-05,1.6299E-06
hrv,Croatian,0.2659995325,0.42265295,1.5959474957,8.7697968336,1.4519E-05,7.4547E-06
hun,Hungarian,0.3979728231,0.361136,1.4119963338,9.6109830159,1.08552E-05,7.2959E-06
ind,Indonesian,0.8030036024,0.34705275,1.1349756081,2.6294303597,6.8907E-06,7.5009E-06
ita_isdt,Italian,0.532026038,0.29468075,1.3377713438,6.338106344,7.4655E-06,1.38511E-05
ita_partut,Italian,0.557045069,0.22098415,1.4115112184,6.2810280483,6.1802E-06,1.1874E-05
ita_postwita,Italian,0.5480120839,0.2810306,1.3324075487,7.0218557202,8.9157E-06,1.9615E-05
jpn,Japanese,0.9159938381,0.2907864,1.041864886,0,9.8844E-06,1.39799E-05
