id	language	dep_marked	double_marked	head_marked	zero_marked	head_exist	dep_dl_mean	double_dl_mean	head_dl_mean	zero_dl_mean	mean_dl	size
afr	Afrikaans	2077	0	0	0	0	2.3466538276360134	NA	NA	NA	2.3466538276360134	44761
ara	Arabic	41964	0	0	0	0	1.8305690591935946	NA	NA	NA	1.8305690591935946	259934
bul	Bulgarian	6950	0	0	0	0	2.2751079136690646	NA	NA	NA	2.2751079136690646	134091
cat	Catalan	32136	0	0	0	0	2.641554642768235	NA	NA	NA	2.641554642768235	478525
ces_cac	Czech	33412	0	0	6219	0	1.7457201005626721	NA	NA	1.8371120758964463	1.7600615679644722	434256
ces_fictree	Czech	4303	0	0	307	0	1.4252846851034162	NA	NA	1.6091205211726385	1.437527114967462	135261
ces_pdt	Czech	87123	0	0	13583	0	1.706988969617667	NA	NA	1.7597732459692261	1.7141083947331837	1285448
chu	Old Church Slavonic	1838	0	0	35	0	1.0935799782372144	NA	NA	1.457142857142857	1.1003737319807796	57563
cmn	Chinese	2171	0	0	194	0	2.9548595117457395	NA	NA	2.582474226804124	2.9243128964059197	106236
dan	Danish	1902	0	0	2	0	1.8333333333333333	NA	NA	2.0	1.8335084033613445	86804
deu	German	7462	0	0	0	0	2.182256767622621	NA	NA	NA	2.182256767622621	254279
ell	Greek	4076	0	0	0	0	1.9703140333660452	NA	NA	NA	1.9703140333660452	57122
eng_edt	Estonian	18653	0	0	7540	0	1.4549402240926392	NA	NA	1.3324933687002654	1.4196922841980681	363286
eng_ewt	English	7342	0	0	0	0	2.267229637700899	NA	NA	NA	2.267229637700899	224961
eng_gum	English	2893	0	0	0	0	2.481852748012444	NA	NA	NA	2.481852748012444	70268
eng_lines	English	2266	0	0	0	0	2.241394527802295	NA	NA	NA	2.241394527802295	72793
eng_partut	English	1326	0	0	0	0	3.1138763197586727	NA	NA	NA	3.1138763197586727	43851
eus	Basque	1868	0	0	3	0	1.2430406852248395	NA	NA	2.0	1.2442544094067343	101632
fas	Persian	0	0	15411	0	0	NA	NA	1.241126468107196	NA	1.241126468107196	139478
fin_ftb	Finnish	4796	256	0	1	1876	1.3665554628857381	1.16796875	NA	1.0	1.3564219275677816	137047
fin_tdt	Finnish	9353	282	0	1	2328	1.3860793328343848	1.1808510638297873	NA	1.0	1.380033208800332	172342
fra_gsd	French	26783	0	0	0	0	2.620094836276743	NA	NA	NA	2.620094836276743	356295
fra_sequoia	French	4047	0	0	0	0	2.976278724981468	NA	NA	NA	2.976278724981468	62698
got	Gothic	2673	0	0	0	0	1.1245791245791246	NA	NA	NA	1.1245791245791246	55336
grc_perseus	Ancient Greek	883	0	0	0	0	2.27519818799547	NA	NA	NA	2.27519818799547	178026
grc_proiel	Ancient Greek	2866	0	0	0	0	2.2711095603628753	NA	NA	NA	2.2711095603628753	214015
heb	Hebrew	4020	0	0	0	0	2.590049751243781	NA	NA	NA	2.590049751243781	143115
hin	Hindi	18301	0	0	0	0	2.510682476367412	NA	NA	NA	2.510682476367412	328249
hrv	Croatian	12238	0	0	1256	0	1.6895734597156398	NA	NA	1.8009554140127388	1.6999407143915815	173156
hun	Hungarian	0	0	1745	0	0	NA	NA	1.9398280802292263	NA	1.9398280802292263	36225
ind	Indonesian	0	0	111	3818	1168	NA	NA	2.5405405405405403	3.7409638554216866	3.707050139984729	103695
ita_isdt	Italian	16736	0	0	0	0	2.7520913001912044	NA	NA	NA	2.7520913001912044	264461
ita_partut	Italian	3524	0	0	0	0	2.6796254256526675	NA	NA	NA	2.6796254256526675	50091
ita_postwita	Italian	3183	0	0	0	0	2.5397423814011937	NA	NA	NA	2.5397423814011937	109408
jpn	Japanese	8167	0	0	0	0	2.6118525774458186	NA	NA	NA	2.6118525774458186	165080
kor_gsd	Korean	1859	0	0	0	0	1.7665411511565359	NA	NA	NA	1.7665411511565359	69960
kor_kaist	Korean	12537	0	0	0	0	1.3259152907394114	NA	NA	NA	1.3259152907394114	311165
lat_ittb	Latin	12190	0	0	963	0	1.2797374897456932	NA	NA	1.395638629283489	1.288223219037482	304498
lat_proiel	Latin	5150	0	0	195	0	1.315728155339806	NA	NA	1.2923076923076924	1.3148737137511692	199958
lav	Latvian	11504	0	0	670	0	1.314412378303199	NA	NA	1.3477611940298508	1.3162477410875637	125312
nld_alpino	Dutch	8186	0	0	0	0	2.9535792817004642	NA	NA	NA	2.9535792817004642	186000
nld_lassysmall	Dutch	3845	0	0	0	0	2.9352405721716517	NA	NA	NA	2.9352405721716517	83437
nno	Norwegian	4143	0	0	11	0	1.8807627323195752	NA	NA	1.0909090909090908	1.8786711603273953	267898
nob	Norwegian	6287	0	0	12	0	1.6992206139653252	NA	NA	1.4166666666666667	1.6986823305286554	273240
pol_lfg	Polish	2621	0	0	110	0	1.18504387638306	NA	NA	1.2272727272727273	1.1867447821310875	105147
pol_sz	Polish	4075	0	0	176	0	1.263312883435583	NA	NA	1.2386363636363635	1.262291225593978	70091
por	Portuguese	13864	0	0	0	0	2.8522792844777842	NA	NA	NA	2.8522792844777842	197768
ron_nonstandard	Romanian	3567	0	0	0	0	1.1213905242500701	NA	NA	NA	1.1213905242500701	164773
ron_rrt	Romanian	6600	0	0	0	0	1.806969696969697	NA	NA	NA	1.806969696969697	191005
rus_gsd	Russian	7762	0	0	714	0	1.7782787941252254	NA	NA	1.7156862745098038	1.7730061349693251	80570
rus_syntagrus	Russian	70618	0	0	3301	0	1.6645472825625194	NA	NA	1.3268706452590124	1.649467660547356	904227
slk	Slovak	4803	0	0	30	0	1.6352279825109306	NA	NA	1.4666666666666666	1.6341816677012209	86913
slv	Slovenian	6303	0	0	156	0	1.6392194193241314	NA	NA	1.3461538461538463	1.6321411983279146	122072
spa_ancora	Spanish	31166	0	0	0	0	2.4457100686645705	NA	NA	NA	2.4457100686645705	484063
spa_gsd	Spanish	27989	0	0	0	0	2.6402515273857587	NA	NA	NA	2.6402515273857587	384062
srp	Serbian	4687	0	0	317	0	1.669298058459569	NA	NA	1.9211356466876972	1.685251798561151	75954
swe_lines	Swedish	1878	0	0	14	0	1.6384451544195953	NA	NA	1.1428571428571428	1.6347780126849893	71158
swe_talbanken	Swedish	2428	0	0	14	0	1.6882207578253707	NA	NA	1.2857142857142858	1.685913185913186	86451
tur	Turkish	0	808	1270	0	0	NA	1.891089108910891	1.4488188976377954	NA	1.620789220404235	47461
uig	Uyghur	400	294	137	76	1578	1.7575	1.8401360544217686	1.2554744525547445	1.2236842105263157	1.6637265711135611	32467
ukr	Ukrainian	6799	0	0	1027	0	1.742020885424327	NA	NA	1.8812074001947419	1.7602862254025045	94298
urd	Urdu	6857	0	0	0	0	2.760245005104273	NA	NA	NA	2.760245005104273	131164
vie	Vietnamese	388	0	0	175	0	3.115979381443299	NA	NA	1.302857142857143	2.552397868561279	37431
