id	language	folder	lang_IPA
afr	Afrikaans	UD_Afrikaans-AfriBooms	ˌɑːfɹɪˈkɑːnz
ara	Arabic	UD_Arabic-PADT	ˈæɹəbɪk
bul	Bulgarian	UD_Bulgarian-BTB	 bʌlˈɡeəɹiən
cat	Catalan	UD_Catalan-AnCora	ˈkætəˌlæn
ces_cac	Czech	UD_Czech-CAC	ˈtʃɛk
ces_fictree	Czech	UD_Czech-FicTree	ˈtʃɛk
ces_pdt	Czech	UD_Czech-PDT	ˈtʃɛk
chu	Old Church Slavonic	UD_Old_Church_Slavonic-PROIEL	ˈəʊld ˈtʃɜːtʃ sləˈvɒnɪk
cmn	Chinese	UD_Chinese-GSD	tʃaɪˈniːz
dan	Danish	UD_Danish-DDT	ˈdeɪnɪʃ
deu	German	UD_German-GSD	ˈdʒɜːmən
ell	Greek	UD_Greek-GDT	ˈɡɹiːk
eng_edt	Estonian	UD_Estonian-EDT	ɛsˈtəʊniən
eng_ewt	English	UD_English-EWT	ˈɪŋɡlɪʃ
eng_gum	English	UD_English-GUM	ˈɪŋɡlɪʃ
eng_lines	English	UD_English-LinES	ˈɪŋɡlɪʃ
eng_partut	English	UD_English-ParTUT	ˈɪŋɡlɪʃ
eus	Basque	UD_Basque-BDT	ˈbɑːsk
fas	Persian	UD_Persian-Seraji	ˈpɜːʒən
fin_ftb	Finnish	UD_Finnish-FTB	ˈfɪnɪʃ
fin_tdt	Finnish	UD_Finnish-TDT	ˈfɪnɪʃ
fra_gsd	French	UD_French-GSD	ˈfɹɛntʃ
fra_sequoia	French	UD_French-Sequoia	ˈfɹɛntʃ
got	Gothic	UD_Gothic-PROIEL	ˈɡɒθɪk
grc_perseus	Ancient Greek	UD_Ancient_Greek-Perseus	ˈeɪnʃənt ˈɡɹiːk
grc_proiel	Ancient Greek	UD_Ancient_Greek-PROIEL	ˈeɪnʃənt ˈɡɹiːk
heb	Hebrew	UD_Hebrew-HTB	ˈhiːbɹuː
hin	Hindi	UD_Hindi-HDTB	ˈhɪndi
hrv	Croatian	UD_Croatian-SET	ˌkɹəʊˈeɪʃən
hun	Hungarian	UD_Hungarian-Szeged	hʌŋˈɡɛəɹiən
ind	Indonesian	UD_Indonesian-GSD	ɪndəʊˈniːʒən
ita_isdt	Italian	UD_Italian-ISDT	ɪˈtæljən
ita_partut	Italian	UD_Italian-ParTUT	ɪˈtæljən
ita_postwita	Italian	UD_Italian-PoSTWITA	ɪˈtæljən
jpn	Japanese	UD_Japanese-GSD	ˌdʒæpəˈniːz
kor_gsd	Korean	UD_Korean-GSD	kəˈɹɪən
kor_kaist	Korean	UD_Korean-Kaist	kəˈɹɪən
lat_ittb	Latin	UD_Latin-ITTB	ˈlætɪn
lat_proiel	Latin	UD_Latin-PROIEL	ˈlætɪn
lav	Latvian	UD_Latvian-LVTB	ˈlætviən
nld_alpino	Dutch	UD_Dutch-Alpino	ˈdʌtʃ
nld_lassysmall	Dutch	UD_Dutch-LassySmall	ˈdʌtʃ
nno	Norwegian	UD_Norwegian-Nynorsk	nɔːˈwiːdʒən
nob	Norwegian	UD_Norwegian-Bokmaal	nɔːˈwiːdʒən
pol_lfg	Polish	UD_Polish-LFG	ˈpəʊlɪʃ
pol_sz	Polish	UD_Polish-SZ	ˈpəʊlɪʃ
por	Portuguese	UD_Portuguese-Bosque	ˌpɔːtʃəˈɡiːz
ron_nonstandard	Romanian	UD_Romanian-Nonstandard	ɹəʊˈmeɪniən
ron_rrt	Romanian	UD_Romanian-RRT	ɹəʊˈmeɪniən
rus_gsd	Russian	UD_Russian-GSD	ˈɹʌʃən
rus_syntagrus	Russian	UD_Russian-SynTagRus	ˈɹʌʃən
slk	Slovak	UD_Slovak-SNK	ˈsləʊvæk
slv	Slovenian	UD_Slovenian-SSJ	sləˈviːniən
spa_ancora	Spanish	UD_Spanish-AnCora	ˈspænɪʃ
spa_gsd	Spanish	UD_Spanish-GSD	ˈspænɪʃ
srp	Serbian	UD_Serbian-SET	ˈsɜːbiːən
swe_lines	Swedish	UD_Swedish-LinES	ˈswiːdɪʃ
swe_talbanken	Swedish	UD_Swedish-Talbanken	ˈswiːdɪʃ
tur	Turkish	UD_Turkish-IMST	ˈtɜːkɪʃ
uig	Uyghur	UD_Uyghur-UDT	ˈwiːɡə
ukr	Ukrainian	UD_Ukrainian-IU	juːˈkɹeɪnɪən
urd	Urdu	UD_Urdu-UDTB	ˈɔːduː
vie	Vietnamese	UD_Vietnamese-VTB	ˌviːətnəˈmiːz
