glottocode,isocodes,name,level,macroarea,latitude,longitude,track,corpus,family_id
afri1274,afr,Afrikaans,language,Africa,-22,30,track b,UD,indo1319
alam1246,amp,Alamblak,language,Papunesia,-4.66307,143.316,track a,PBC,sepi1257
amel1241,aey,Amele,language,Papunesia,-5.29126,145.687,track a,PBC,nucl1709
anci1242,grc,Ancient Greek,language,Eurasia,39.8155,21.9129,track b,UD,indo1319
apur1254,apu,Apurinã,language,South America,-8.21692,-66.7714,track a,PBC,araw1281
bara1380,bsn,Barasana-Eduria,language,South America,0.02193,-70.808,track a,PBC,tuca1253
esto1258,ekk,Estonian,language,Eurasia,58.55,25.82,track b,UD,ural1272
basq1248,eus,Basque,language,Eurasia,43.2787,-1.31622,track a,PBC,
basq1248,eus,Basque,language,Eurasia,43.2787,-1.31622,track b,UD,
buki1249,ape,Bukiyip,language,Papunesia,-3.47169,143.111,track a,PBC,nucl1708
bulg1262,bul,Bulgarian,language,Eurasia,43.3646,25.047,track b,UD,indo1319
cham1312,cha,Chamorro,language,Papunesia,13.438011,144.74474,track a,PBC,aust1307
chuk1273,ckt,Chukchi,language,Eurasia,68.6436,170.045,track a,PBC,chuk1271
chur1257,chu,Church Slavic,language,Eurasia,43.7171,22.8442,track b,UD,indo1319
croa1245,hrv,Croatian Standard,dialect,Eurasia,45.555,15.982,track b,UD,indo1319
czec1258,ces,Czech,language,Eurasia,49.873398,15.10437,track b,UD,indo1319
daga1275,dgz,Daga,language,Papunesia,-9.9747,149.263,track a,PBC,daga1274
dani1285,dan,Danish,language,Eurasia,54.8655,9.36284,track b,UD,indo1319
dutc1256,nld,Dutch,language,Eurasia,52,5,track b,UD,indo1319
east2652,hae,Eastern Oromo,language,Africa,8.67428,41.4395,track a,PBC,afro1255
egyp1253,arz,Egyptian Arabic,language,Africa,31,31,track a,PBC,afro1255
fiji1243,fij,Fijian,language,Papunesia,-18,178.33,track a,PBC,aust1307
finn1318,fin,Finnish,language,Eurasia,64.7628,25.5577,track a,PBC,ural1272
finn1318,fin,Finnish,language,Eurasia,64.7628,25.5577,track b,UD,ural1272
goth1244,got,Gothic,language,Eurasia,46.9304,29.9786,track b,UD,indo1319
halh1238,khk,Halh Mongolian,language,Eurasia,48.324,106.289,track a,PBC,mong1349
haus1257,hau,Hausa,language,Africa,11.1513,8.7804,track a,PBC,afro1255
hebr1245,heb,Modern Hebrew,language,Eurasia,31.1056,35.0179,track b,UD,afro1255
hind1269,hin,Hindi,language,Eurasia,25,77,track a,PBC,indo1319
hind1269,hin,Hindi,language,Eurasia,25,77,track b,UD,indo1319
hung1274,hun,Hungarian,language,Eurasia,46.9068585714,19.6555271429,track b,UD,ural1272
