iso_639_3,glottocode,wals_code,name_glotto,name_wals,family_id,top_level_family,genus_wals,family_wals,macroarea_glotto,latitude_glotto,longitude_glotto
aey,amel1241,ame,Amele,Amele,nucl1709,Nuclear Trans New Guinea,Madang,Trans-New Guinea,Papunesia,-5.29126,145.687
amp,alam1246,ala,Alamblak,Alamblak,sepi1257,Sepik,Sepik Hill,Sepik,Papunesia,-4.66307,143.316
ape,buki1249,arp,Bukiyip,Arapesh (Mountain),nucl1708,Nuclear Torricelli,Kombio-Arapesh,Torricelli,Papunesia,-3.47169,143.111
apu,apur1254,apu,Apurinã,Apurinã,araw1281,Arawakan,Purus,Arawakan,South America,-8.21692,-66.7714
arn,mapu1245,map,Mapudungun,Mapudungun,arau1255,Araucanian,Araucanian,Araucanian,South America,-38.7392,-71.277
arz,egyp1253,aeg,Egyptian Arabic,Arabic (Egyptian),afro1255,Afro-Asiatic,Semitic,Afro-Asiatic,Africa,31,31
bsn,bara1380,brs,Barasana-Eduria,Barasano,tuca1253,Tucanoan,Tucanoan,Tucanoan,South America,0.02193,-70.808
cha,cham1312,cha,Chamorro,Chamorro,aust1307,Austronesian,Chamorro,Austronesian,Papunesia,13.438011,144.74474
ckt,chuk1273,chk,Chukchi,Chukchi,chuk1271,Chukotko-Kamchatkan,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,Eurasia,68.6436,170.045
deu,stan1295,ger,German,German,indo1319,Indo-European,Germanic,Indo-European,Eurasia,48.649,12.4676
dgz,daga1275,dag,Daga,Daga,daga1274,Dagan,Dagan,Dagan,Papunesia,-9.9747,149.263
ell,mode1248,grk,Modern Greek,Greek (Modern),indo1319,Indo-European,Greek,Indo-European,Eurasia,42.3224,24.8699
eng,stan1293,eng,English,English,indo1319,Indo-European,Germanic,Indo-European,Eurasia,53,-1
eus,basq1248,bsq,Basque,Basque,,NA,Basque,Basque,Eurasia,43.2787,-1.31622
fij,fiji1243,fij,Fijian,Fijian,aust1307,Austronesian,Oceanic,Austronesian,Papunesia,-18,178.33
fin,finn1318,fin,Finnish,Finnish,ural1272,Uralic,Finnic,Uralic,Eurasia,64.7628,25.5577
fra,stan1290,fre,French,French,indo1319,Indo-European,Romance,Indo-European,Eurasia,48,2
